ID,COU,RES,SITE,SITE_ID,PLOT,Site,Date,Microsite,ID_Microsite,diameter_1(cm),diameter_2(cm),canopy area (cm2),Number of replicate,Quadrat,Species within quadrat,Cover (%),Number of individuals
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,55,48,8293.824,1,,Enneapogon_scaber,2,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,1,,Drosanthemum_praecultum,10,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,44,42,5805.6768,2,,Aristida_congesta,5,2
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,2,,Rosenia_humilis,30,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,2,,Monsonia_crassicaule,1,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,38,35,4178.328,3,,,,
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,3,,,,
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,50,38,5969.04,4,,Lycium_cinereum,25,6
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,4,,Hermannia_cuneifolia_var._cuneifolia ,60,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,48,34,5127.0912,5,,Aristida_congesta,5,4
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,5,,Ruschia_spinosa,10,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,44,34,4699.8336,6,,Monsonia_crassicaule,15,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,44,34,4699.8336,6,,Eriocephalus_ericoides,20,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,44,34,4699.8336,6,,Trichodiadema_sp1,10,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,6,,Aristida_congesta,10,5
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,6,,Pentzia_incana,15,2
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,6,,Enneapogon_scaber,7,3
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,34,26,2777.1744,7,,Pentzia_incana,10,3
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,34,26,2777.1744,7,,Enneapogon_scaber,5,2
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,7,,Enneapogon_scaber,5,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,52,48,7841.4336,8,,Trichodiadema_sp1,5,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,52,48,7841.4336,8,,Bulb_sp1,2,2
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,52,48,7841.4336,8,,Aristida_congesta,1,3
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,8,,,,
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,49,38,5849.6592,9,,Aristida_congesta,5,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,9,,Hermannia_cuneifolia_var._cuneifolia ,50,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,9,,Anacampseros_arachnoides,5,2
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,47,36,5315.5872,10,,Monsonia_crassicaule,25,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,47,36,5315.5872,10,,Aristida_congesta,5,3
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,10,,Enneapogon_scaber,10,4
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,54,44,7464.4416,11,,Hermannia_cuneifolia_var._cuneifolia ,15,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,54,44,7464.4416,11,,Aristida_congesta,2,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,11,,Pentzia_incana,7,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,11,,Enneapogon_scaber,5,2
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,43,30,4052.664,12,,Pentzia_incana,10,2
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,12,,Monsonia_crassicaule,3,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,12,,Aristida_congesta,5,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,12,,Pentzia_incana,10,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,12,,Enneapogon_scaber,3,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,42,37,4882.0464,13,,Aristida_congesta,10,3
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,42,37,4882.0464,13,,Enneapogon_scaber,5,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,13,,Pentzia_incana,10,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,13,,Aristida_congesta,10,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,41,32,4121.7792,14,,Aristida_congesta,2,2
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,14,,Aristida_congesta,15,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,37,27,3138.4584,15,,Pentzia_incana,7,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,37,27,3138.4584,15,,Aristida_congesta,2,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,15,,Aristida_congesta,5,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,52,46,7514.7072,16,,Pentzia_incana,10,3
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,52,46,7514.7072,16,,Aristida_congesta,5,3
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,52,46,7514.7072,16,,Blepharis_capensis,7,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,16,,Hermannia_cuneifolia_var._cuneifolia ,15,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,16,,Selago_pulchra,25,2
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,16,,Aristida_congesta,5,3
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,42,32,4222.3104,17,,,,
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,17,,Monsonia_crassicaule,15,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,50,42,6597.36,18,,Aristida_congesta,15,4
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,50,42,6597.36,18,,Eriospermum_paradoxum,5,3
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,50,42,6597.36,18,,Limeum_aethiopicum_subsp._aethiopicum_var._fluviale,1,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,18,,Ruschia_spinosa,10,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,18,,Enneapogon_scaber,5,4
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,18,,Aristida_congesta,1,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,52,36,5881.0752,19,,Monsonia_crassicaule,10,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,19,,Enneapogon_scaber,3,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,46,42,6069.5712,20,,Pentzia_incana,15,4
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,46,42,6069.5712,20,,Aristida_congesta,10,4
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,20,,Rosenia_humilis,70,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,1,Bare,,,,20,,Aristida_congesta,5,1
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,56,50,8796.48,21,,Aristida_congesta,7,3
250,South Africa,"Le Roux, Peter",Wheatlands,78,1,Plot 1 Wheatlands_high_intensity_grazing,2017/06/27,2,Ruschia_spinosa,56,50,8796.48,21,,Euphorbia_ferox,1,1
